t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
310395,5600,5.600000,0,1.199100,0.774400,0.000000,0.392460,0.774400,0.000000,13.244413,8.931490,2.548029,6.492453,-1.773629,-6.492453,-0.696079,-1.000000
310445,5650,5.650000,0,1.208800,0.655200,0.000000,0.392460,0.655200,0.000000,13.351552,9.076575,2.548029,6.492453,-1.892829,-6.492453,-0.742860,-1.000000
310495,5700,5.700000,0,1.237000,0.727700,0.000000,0.392460,0.727700,0.000000,13.663029,9.505008,2.548029,6.492453,-1.820329,-6.492453,-0.714407,-1.000000
310545,5750,5.750000,0,1.232200,0.614900,0.000000,0.392460,0.614900,0.000000,13.610012,9.431386,2.548029,6.492453,-1.933129,-6.492453,-0.758676,-1.000000
310595,5800,5.800000,0,1.278900,0.597100,0.000000,0.392460,0.597100,0.000000,14.125827,10.159826,2.548029,6.492453,-1.950929,-6.492453,-0.765662,-1.000000
310645,5850,5.850000,0,1.274900,0.644700,0.000000,0.392460,0.644700,0.000000,14.081646,10.096372,2.548029,6.492453,-1.903329,-6.492453,-0.746981,-1.000000
310695,5900,5.900000,0,1.278100,0.852600,0.000000,0.392460,0.852600,0.000000,14.116991,10.147120,2.548029,6.492453,-1.695429,-6.492453,-0.665388,-1.000000
310745,5950,5.950000,0,1.224900,0.920300,0.000000,0.392460,0.920300,0.000000,13.529381,9.319967,2.548029,6.492453,-1.627729,-6.492453,-0.638819,-1.000000
310795,6000,6.000000,0,1.302300,0.917100,0.000000,0.392460,0.917100,0.000000,14.384287,10.535016,2.548029,6.492453,-1.630929,-6.492453,-0.640075,-1.000000
310845,6050,6.050000,0,1.310300,0.627000,0.000000,0.392460,0.627000,0.000000,14.472649,10.664846,2.548029,6.492453,-1.921029,-6.492453,-0.753927,-1.000000
310895,6100,6.100000,0,1.328900,0.805100,0.000000,0.392460,0.805100,0.000000,14.678092,10.969775,2.548029,6.492453,-1.742929,-6.492453,-0.684030,-1.000000
310945,6150,6.150000,0,1.328100,0.653600,0.000000,0.392460,0.653600,0.000000,14.669256,10.956571,2.548029,6.492453,-1.894429,-6.492453,-0.743488,-1.000000
310995,6200,6.200000,0,1.333700,0.606800,0.000000,0.392460,0.606800,0.000000,14.731109,11.049164,2.548029,6.492453,-1.941229,-6.492453,-0.761855,-1.000000
311045,6250,6.250000,0,1.367500,0.891300,0.000000,0.392460,0.891300,0.000000,15.104440,11.616299,2.548029,6.492453,-1.656729,-6.492453,-0.650200,-1.000000
311095,6300,6.300000,0,1.371600,0.734900,0.000000,0.392460,0.734900,0.000000,15.149726,11.686059,2.548029,6.492453,-1.813129,-6.492453,-0.711581,-1.000000
311145,6350,6.350000,0,1.316800,0.812300,0.000000,0.392460,0.812300,0.000000,14.544444,10.770919,2.548029,6.492453,-1.735729,-6.492453,-0.681205,-1.000000
311195,6400,6.400000,0,1.417500,0.813900,0.000000,0.392460,0.813900,0.000000,15.656705,12.481283,2.548029,6.492453,-1.734129,-6.492453,-0.680577,-1.000000
311245,6450,6.450000,0,1.409500,0.869500,0.000000,0.392460,0.869500,0.000000,15.568342,12.340799,2.548029,6.492453,-1.678529,-6.492453,-0.658756,-1.000000
311295,6500,6.500000,0,1.349000,0.608400,0.000000,0.392460,0.608400,0.000000,14.900102,11.304127,2.548029,6.492453,-1.939629,-6.492453,-0.761227,-1.000000
311345,6550,6.550000,0,1.436800,0.745400,0.000000,0.392460,0.745400,0.000000,15.869879,12.823476,2.548029,6.492453,-1.802629,-6.492453,-0.707460,-1.000000
311395,6600,6.600000,0,1.446500,0.736600,0.000000,0.392460,0.736600,0.000000,15.977018,12.997205,2.548029,6.492453,-1.811429,-6.492453,-0.710914,-1.000000
311445,6650,6.650000,0,1.436000,0.760700,0.000000,0.392460,0.760700,0.000000,15.861043,12.809199,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
311495,6700,6.700000,0,1.407800,0.602000,0.000000,0.392460,0.602000,0.000000,15.549565,12.311048,2.548029,6.492453,-1.946029,-6.492453,-0.763739,-1.000000
311545,6750,6.750000,0,1.481200,0.668100,0.000000,0.392460,0.668100,0.000000,16.360290,13.628263,2.548029,6.492453,-1.879929,-6.492453,-0.737797,-1.000000
311595,6800,6.800000,0,1.478800,0.876800,0.000000,0.392460,0.876800,0.000000,16.333781,13.584135,2.548029,6.492453,-1.671229,-6.492453,-0.655891,-1.000000
311645,6850,6.850000,0,1.470700,0.648700,0.000000,0.392460,0.648700,0.000000,16.244314,13.435731,2.548029,6.492453,-1.899329,-6.492453,-0.745411,-1.000000
311695,6900,6.900000,0,1.473900,0.859000,0.000000,0.392460,0.859000,0.000000,16.279659,13.494262,2.548029,6.492453,-1.689029,-6.492453,-0.662877,-1.000000
311745,6950,6.950000,0,1.513400,0.917100,0.000000,0.392460,0.917100,0.000000,16.715949,14.227237,2.548029,6.492453,-1.630929,-6.492453,-0.640075,-1.000000
311795,7000,7.000000,0,1.517400,0.659200,0.000000,0.392460,0.659200,0.000000,16.760130,14.302543,2.548029,6.492453,-1.888829,-6.492453,-0.741290,-1.000000
311845,7050,7.050000,0,1.534400,0.833300,0.000000,0.392460,0.833300,0.000000,16.947900,14.624812,2.548029,6.492453,-1.714729,-6.492453,-0.672963,-1.000000
311895,7100,7.100000,0,1.531900,0.781700,0.000000,0.392460,0.781700,0.000000,16.920287,14.577194,2.548029,6.492453,-1.766329,-6.492453,-0.693214,-1.000000
311945,7150,7.150000,0,1.531100,0.762300,0.000000,0.392460,0.762300,0.000000,16.911450,14.561973,2.548029,6.492453,-1.785729,-6.492453,-0.700828,-1.000000
